id,x_m,y_m,z_m,horizontal_deg,vertical_deg
1,5.377098,-1.065153,0.551369,-25.031962,-10.026099
2,6.198768,0.176950,0.639457,-9.977863,-9.843159
3,6.600885,1.808351,0.735847,4.917544,-10.184877
4,6.367930,3.618613,0.808606,19.940248,-10.037397
5,5.469217,5.365861,0.822900,34.887223,-10.025715
6,6.160868,-1.234540,1.348293,-24.796672,-0.095329
7,7.260841,0.264612,1.656844,-9.954786,0.149925
8,7.474223,2.130404,1.923160,5.154625,0.150913
9,5.497787,2.831002,1.813703,19.957980,0.017099
10,4.897941,4.559167,1.979152,35.159705,-0.275368
11,6.992576,-1.482563,2.686105,-24.796869,12.116622
12,8.027715,0.229829,3.268915,-9.944230,12.032047
13,5.821543,1.266009,2.779613,5.139797,11.918546
14,5.858104,3.075370,3.252355,20.021001,11.816498
15,5.311853,5.185440,3.747310,34.992785,12.004409
